,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
84,COV504,ERI,-0.056217097,-0.029859419,0.059761984,-0.008603417,0.032813592,-0.014275959,0.009613013,0.152347193,-0.022894153,-0.057790813,0.021504047,-0.040243614,0.022104283,-0.005587817,-0.036820647,0.009605954,-0.012219465,-0.083046338,0.066646178,-0.03431491,-0.031712019,0.134571561,0.152491025
85,COLO-704,ERI,0.211427306,0.057107749,-0.146234531,-0.023698366,-0.223634087,0.135659175,-0.098853833,-0.053878122,0.001091203,-0.070118279,0.141634912,0.039256572,-0.143413528,-0.000663718,0.120202808,-0.041386284,-0.030383543,0.041035292,-0.007519915,0.088322783,-0.016372866,-0.032578044,0.071333556
86,COLO-704,ERI,0.205634026,0.107741294,-0.143730845,-0.020452922,-0.222773789,0.131721698,-0.095322112,-0.058070098,0.002045148,-0.070076345,0.134130941,0.030995903,-0.139892464,0.009481668,0.115497315,-0.048830601,-0.02624651,0.021092291,-0.001954193,0.098549251,-0.025126098,-0.060174216,0.077518539
87,COLO-704,ERI,0.213859815,0.053016802,-0.145131296,-0.027226733,-0.222677659,0.133812425,-0.099838385,-0.055975259,0.0017344,-0.067582715,0.138274766,0.035295337,-0.140564329,-0.002800282,0.111252294,-0.052817557,-0.027289004,0.01933502,-0.022133694,0.086204849,-0.064387777,-0.044119212,0.082334339
88,COLO,ERI,0.186887306,0.103808331,-0.131605202,-0.014085489,-0.215127909,0.138712665,-0.079482269,-0.060366063,0.000527863,-0.054412183,0.138837675,0.025119507,-0.126956975,-0.020822548,0.113006651,-0.044671987,-0.021186449,0.060598349,-0.012929035,0.119524712,-0.021989866,-0.063286748,0.123369859
89,COLO,ERI,0.188051262,0.057083507,-0.129487126,-0.01831967,-0.211435121,0.142580948,-0.085179601,-0.053772841,-0.003828422,-0.059376787,0.148385875,0.024618044,-0.126154942,-0.016108049,0.092662626,-0.058668998,-0.022113159,0.042103541,0.001588352,0.121246162,-0.054931006,-0.047553865,0.128075979
90,COLO,ERI,0.189272158,0.077072199,-0.130306605,-0.017690215,-0.213861054,0.140667277,-0.083733792,-0.054220354,-0.000271301,-0.058690629,0.136377047,0.023537055,-0.128946865,-0.017899786,0.099244196,-0.060567917,-0.024370712,0.045747131,-0.006786276,0.101104704,-0.011954033,-0.0670159,0.11872151
91,A2780,ERI,0.059116701,0.040085666,-0.135232443,-0.009364482,0.014573217,0.076047608,-0.100775194,-0.057413032,0.310286634,-0.048275139,0.086289311,0.10026463,-0.132170228,-0.039524944,0.197981698,-0.055226521,-0.027055038,0.097614736,0.006105096,0.070452741,-0.017656968,-0.065439196,0.111673073
92,A2780,ERI,0.058439242,0.046175473,-0.135953714,-0.004610878,0.014930714,0.074002562,-0.096769978,-0.05904437,0.304883221,-0.046689972,0.078342096,0.096804105,-0.131268826,-0.035847957,0.177986172,-0.063918088,-0.018509515,0.101295098,-0.006973628,0.078690722,-0.017065443,-0.0841595,0.100684013
93,A2780,ERI,0.058232037,0.058436972,-0.134277042,-0.004945992,0.014770699,0.071184468,-0.098289697,-0.05351904,0.30899484,-0.046121341,0.074975939,0.096343984,-0.129238021,-0.03379693,0.178443842,-0.063031873,-0.022825207,0.072042857,-0.007683008,0.063298815,0.034292741,-0.055771323,0.196515965
94,COV644,ERI,-0.050485163,-0.00112248,0.072622057,0.019091327,0.037554788,-0.125106268,0.142971534,-0.002232034,-0.030023119,-0.011588101,-0.062915821,-0.045230806,0.040817964,-0.038726976,-0.115225958,0.283049529,0.073171533,0.046182551,-0.019751244,-0.010946059,0.003393633,0.213216406,-0.056916228
95,COV644,ERI,-0.05276998,-0.062778736,0.07194217,0.009276613,0.036651532,-0.114892968,0.137298527,0.00239409,-0.036517463,-0.014499066,-0.048909356,-0.047680697,0.039383565,-0.043699321,-0.137836406,0.273549576,0.07457465,0.043809659,-0.031281475,-0.057301782,-0.035885386,0.234167357,-0.068929855
96,COV644,ERI,-0.052269267,-0.023265108,0.072047788,0.013164208,0.037211878,-0.115441646,0.141735368,0.001776185,-0.033835992,-0.015919509,-0.05372882,-0.04759933,0.040425805,-0.038859448,-0.120457603,0.284065493,0.07619448,0.034950742,-0.034346857,-0.064732303,-0.034234602,0.224856335,-0.144092816
97,EFO-27,ERI,-0.018260136,-0.076901118,0.049884331,-0.019664692,0.027547742,0.01618118,0.018767602,0.048610237,-0.026051374,-0.028880028,-0.018422801,-0.020344167,0.013682443,-0.041269802,-0.038552495,0.047918579,-0.017637722,-0.013574318,-0.013861297,-0.017651208,-0.031841562,0.016080682,-0.017435445
98,EFO-27,ERI,-0.018043159,-0.027721393,0.049706766,-0.018760341,0.026963479,0.018459123,0.019038789,0.049956816,-0.023071198,-0.026772414,-0.026487607,-0.028018572,0.014314301,-0.036243315,-0.025880358,0.03971809,-0.019644251,-0.033222031,-0.01472048,0.01095766,-0.018195031,0.000196772,-0.040989122
99,EFO-27,ERI,-0.014380126,0.043117433,0.049919592,-0.00991214,0.028344904,0.0088812,0.029440321,0.041231697,-0.020944727,-0.024837938,-0.046069902,-0.025428366,0.016414118,-0.023200067,-0.023429877,0.057888597,-0.008472051,-0.018809808,-0.00739657,0.030317572,0.007464881,0.005716309,-0.001279307
100,OVCAR-3,ERI,-0.015682732,-0.039507149,-0.010769544,-0.025975493,0.001651806,0.025164715,0.090901999,-0.072792548,-0.024999382,-0.038500179,-0.017306119,-0.022612678,0.033746383,0.168747315,-0.000985333,-0.005087351,-0.006715474,0.013014373,-0.045747111,0.012501384,0.01165365,-0.02025845,-0.023803818
101,OVCAR-3,ERI,-0.016239812,-0.033701414,-0.011430171,-0.027851493,0.00036027,0.029792975,0.088576735,-0.078329351,-0.025589681,-0.042846552,-0.010317415,-0.021726666,0.035038404,0.177586557,-0.002780397,-0.022856962,-0.008693641,-0.006248162,-0.038754389,0.035287124,-0.022203525,0.005969713,-0.03662589
102,OVCAR-3,ERI,-0.011966517,-0.002116343,-0.011256806,-0.023219498,0.001150867,0.023914467,0.097141648,-0.079581255,-0.020765434,-0.036048844,-0.027838116,-0.02379046,0.036977028,0.183974263,-0.008929895,-0.008384847,-0.014089025,-0.01729573,-0.056205578,0.049021299,0.000305849,-0.006066012,-0.038750221
103,OV-90,ERI,-0.018059413,0.111320597,-0.004472426,0.314432563,0.008018543,-4.61E-05,-0.010335012,-0.041612538,-0.01282308,-0.004361639,-0.079670788,-0.016461423,-0.002562224,-0.007446578,0.026859332,0.011858875,-0.013912842,0.03244604,-0.00586166,0.010719328,0.010527352,-0.024983124,-0.012960605
104,OV-90,ERI,-0.020166762,0.130798556,-0.003522787,0.30993915,0.01012962,-0.00394318,-0.003390122,-0.049778042,-0.011043248,-0.003002505,-0.090979104,-0.019986334,6.39E-05,-0.002775138,0.030903247,0.020327208,-0.017171052,0.032156494,-0.006064837,0.048223557,0.003153484,-0.037796543,-0.028163976
105,OV-90,ERI,-0.019899562,0.048912895,-0.003605952,0.319096735,0.00948909,-0.00155555,-0.009081905,-0.046998374,-0.013220042,-0.005905715,-0.072793332,-0.017425416,-0.002617852,-0.024240353,0.024432574,0.003607638,-0.015939984,0.026181177,0.000965418,0.00136849,-0.00353005,0.021350162,-0.025981714
106,KURAMOCHI,ERI,-0.019523726,0.001234505,0.041464515,-0.017967609,0.034666352,-0.066803829,-0.005852954,-0.016456055,-0.010158641,-0.034241638,-0.085079631,-0.040364234,0.041588277,0.110325444,-0.028609158,-0.037308284,-0.027520004,-0.061305537,-0.031568478,-0.006487843,-0.02193441,-0.047822976,-0.056681581
107,KURAMOCHI,ERI,-0.020308472,-0.02013807,0.042059706,-0.018624374,0.035864143,-0.063007733,-0.010153891,-0.007022779,-0.010377224,-0.030012808,-0.08061295,-0.045264568,0.041604996,0.11925511,-0.025978809,-0.047318118,-0.030134289,-0.043528983,-0.02072631,-0.031912894,-0.043711028,-0.035690251,-0.072484284
108,KURAMOCHI,ERI,-0.016223093,0.076125764,0.036957589,-0.000282432,0.03273202,-0.067047976,-0.00827214,-0.016318023,0.001969818,-0.024967992,-0.101659626,-0.035101728,0.04170072,0.114146059,-0.003342661,-0.020358095,-0.031883534,-0.040236653,-0.049791319,0.01820065,0.020668763,-0.026612281,-0.063146055
109,OVTOKO,ERI,-0.045514087,0.103254137,0.065245935,0.001933789,0.047447083,-0.091464769,-0.036871289,0.060731676,-0.027805738,0.160166464,-0.093948416,-0.025945385,0.058986112,-0.056711079,-0.009455845,-0.027200495,-0.012818667,-0.108712072,-0.019264509,0.015304632,0.09806668,-0.011452583,-0.024908779
110,OVTOKO,ERI,-0.044834705,0.06963533,0.064932262,-0.001315768,0.047546791,-0.089342987,-0.036477726,0.061187243,-0.021199488,0.155473771,-0.090793416,-0.027661112,0.057883627,-0.060834155,-0.00518227,-0.027989956,-0.02199198,-0.139211639,-0.01796616,-0.003817419,0.076252653,-0.027995306,-0.013933891
111,OVTOKO,ERI,-0.043242016,0.053665836,0.064540167,0.000906238,0.046313983,-0.083489442,-0.036696122,0.060815772,-0.028516056,0.160176741,-0.086537828,-0.023886834,0.057079538,-0.06550321,-0.002365699,-0.025770943,-0.018185673,-0.098844621,-0.017810381,0.006764469,0.097689711,-0.061016503,-0.008356749
112,OVCAR-4,ERI,-0.030104084,0.03554446,0.041732049,-0.016958127,0.026642264,-0.037835501,0.113063376,-0.059508022,-0.027832816,0.022928659,-0.089335956,-0.047080063,0.079013054,0.086690411,-0.050257158,0.010522647,-0.01215163,0.019244321,-0.035643463,-0.022379022,0.030975431,-0.014076677,-0.107951433
113,OVCAR-4,ERI,-0.030000156,0.038471106,0.041889163,-0.017598343,0.026352796,-0.035038988,0.105718657,-0.058488186,-0.028972204,0.027345957,-0.087822526,-0.046534679,0.078809399,0.080672416,-0.030102256,0.002712993,-0.005850605,0.039608799,-0.038710203,-0.02336298,0.071820855,-0.01752158,-0.059870797
114,OVCAR-4,ERI,-0.032455019,0.009506512,0.043070866,-0.019361104,0.026509265,-0.038474235,0.107270963,-0.059069928,-0.030355414,0.024114243,-0.080362675,-0.047998677,0.07887946,0.088283522,-0.032901425,0.003573977,-0.015894071,0.019694857,-0.03650661,-0.017829664,0.048054533,0.002096818,-0.079431588
115,OVSAHO,ERI,0.003308726,0.11522671,0.006897191,-0.012444036,0.00076392,-0.007280499,0.016541415,-0.06527324,-0.01633177,-0.03007504,0.040160908,-0.021447848,0.040441292,0.13521873,-0.009737658,-0.038532543,-0.015121365,0.035977089,-0.022491467,0.110111589,0.01139435,0.015338415,0.046751479
116,OVSAHO,ERI,0.004033024,0.09291552,0.008390761,-0.020544466,0.000246029,-0.011101707,0.017834371,-0.063317333,-0.019099111,-0.028674451,0.044344756,-0.026562108,0.039288957,0.134911565,-0.013920691,-0.043702438,-0.009645234,0.010156693,-0.028184516,0.073171736,0.003584091,0.009736221,0.000520032
117,OVSAHO,ERI,0.00281541,0.057407092,0.006109815,-0.018328249,0.001664087,0.003348049,0.012911184,-0.064111957,-0.01850777,-0.03291865,0.047316218,-0.023775958,0.040025377,0.13196399,-0.000345318,-0.044398529,-0.021454465,0.016530484,-0.026554353,0.089653923,0.036825644,0.022087278,0.028221734
118,EFO-21,ERI,-0.036572386,-0.008482046,0.045487442,-0.010959565,0.033546436,-0.006773038,-0.005731333,-0.020452932,-0.032518626,0.030981281,-0.029077817,-0.05645315,0.060889297,0.022981289,-0.037873503,-0.002331621,-0.028954266,0.018614566,0.002479747,-0.07782282,0.012491522,0.00225297,-0.052416523
119,EFO-21,ERI,-0.038663027,-0.033544262,0.046116418,-0.010838742,0.034479208,-0.005828973,-0.007665345,-0.012376197,-0.032728926,0.032722243,-0.025511474,-0.055119802,0.060934637,0.023878129,-0.041774493,-0.01837727,-0.03194315,0.0306922,-0.000575623,-0.071473599,0.000869685,0.000434276,-0.023730747
120,EFO-21,ERI,-0.038698084,-0.063463806,0.043598861,-0.01409686,0.03305561,0.002931073,-0.013186621,-0.013418086,-0.036131936,0.029142419,-0.014768005,-0.054378261,0.059082948,0.016374458,-0.034060644,-0.020770111,-0.038002171,0.026336424,-0.002842389,-0.056693089,-0.013785911,-0.021557821,-0.032877772
